id, num_edge, opt_depth, runtime
0, 7, 2, 3.8959109783172607
1, 7, 2, 4.063781023025513
2, 7, 2, 3.973923921585083
3, 7, 2, 4.014696836471558
4, 7, 2, 4.208026170730591
5, 7, 2, 4.101534128189087
6, 7, 3, 3.581099033355713
7, 7, 3, 4.005601644515991
8, 7, 3, 4.127293348312378
9, 7, 3, 3.6162612438201904
10, 7, 3, 3.7165541648864746
11, 7, 3, 3.52313494682312
12, 7, 3, 3.7266530990600586
13, 7, 3, 4.047407865524292
14, 7, 3, 3.635369062423706
15, 7, 3, 4.528198003768921
16, 7, 3, 4.11996603012085
17, 7, 3, 4.010307788848877
18, 7, 3, 4.679408073425293
19, 7, 3, 3.647145986557007
20, 7, 3, 4.424998998641968
21, 7, 3, 3.8087878227233887
22, 7, 3, 5.667922735214233
23, 8, 2, 4.05993390083313
24, 8, 2, 4.71004581451416
25, 8, 3, 3.6667120456695557
26, 8, 3, 3.5696980953216553
27, 8, 3, 3.8847081661224365
28, 8, 3, 3.4359350204467773
29, 8, 3, 3.729285717010498
30, 8, 3, 3.993730068206787
31, 8, 3, 3.5196800231933594
32, 8, 3, 4.072298049926758
33, 8, 3, 3.7100911140441895
34, 8, 3, 4.44351601600647
35, 8, 3, 4.002328157424927
36, 8, 3, 3.482785940170288
37, 8, 3, 3.509512186050415
38, 8, 3, 4.0099592208862305
39, 8, 3, 4.292958974838257
40, 8, 3, 3.985243082046509
41, 8, 3, 4.569979906082153
42, 8, 3, 4.180218935012817
43, 8, 3, 3.904236078262329
44, 8, 3, 3.907147169113159
45, 8, 3, 4.087601184844971
46, 8, 3, 5.013774156570435
47, 8, 3, 3.9858851432800293
48, 8, 3, 3.981426954269409
49, 8, 3, 6.820672988891602
50, 8, 3, 8.740242958068848
51, 8, 3, 4.315631151199341
52, 8, 4, 45.97866868972778
53, 8, 3, 4.11482310295105
54, 8, 3, 4.224869012832642
55, 9, 3, 4.367103099822998
56, 9, 3, 4.917691946029663
57, 9, 3, 4.16827392578125
58, 9, 3, 3.7900140285491943
59, 9, 3, 4.375845193862915
60, 9, 4, 38.81505370140076
61, 9, 3, 5.511652946472168
62, 9, 3, 4.281882047653198
63, 9, 3, 5.352365255355835
64, 9, 3, 6.731596946716309
65, 9, 3, 6.470273971557617
66, 9, 3, 4.659387111663818
67, 9, 4, 35.374752044677734
68, 9, 3, 9.476778745651245
69, 9, 3, 4.210532188415527
70, 9, 4, 52.18850612640381
71, 9, 3, 4.665860891342163
72, 9, 3, 4.05691385269165
73, 9, 3, 5.175130128860474
74, 9, 3, 8.707849025726318
75, 10, 3, 4.009699821472168
76, 10, 3, 3.976778030395508
77, 10, 3, 7.982596158981323
78, 10, 3, 3.930158853530884
79, 10, 4, 39.81677532196045
80, 10, 3, 4.056717157363892
81, 10, 4, 40.62730073928833
82, 10, 3, 3.8655450344085693
83, 10, 3, 4.484040260314941
84, 10, 3, 5.944313049316406
85, 10, 3, 5.161050319671631
86, 10, 3, 4.188787937164307
87, 10, 4, 66.27474117279053
88, 11, 3, 3.753034830093384
89, 11, 3, 13.23897910118103
90, 11, 3, 5.092599868774414
91, 11, 4, 51.713444232940674
92, 11, 4, 50.05961894989014
93, 11, 3, 5.7902610301971436
94, 11, 4, 44.43288016319275
95, 12, 3, 5.536329030990601
96, 12, 4, 53.14309000968933
97, 12, 3, 4.699738025665283
98, 13, 3, 6.190136909484863
99, 13, 3, 4.308877944946289
100, 13, 3, 3.4798121452331543
